Date,ID,Days until next hedge,S,Dividend,C_BS,D_BS,C_mkt,D_Blm,R,TTM,Moneyness,D_Optimal,Target
2024-10-10,3,1,5780.05,1.3278,208.5890659,0.495128516,220.15,0.513,4.7853,162,-119.95,0.36527354,-0.129854976
2024-09-19,5,1,5713.64,1.3462,86.56626748,0.29551876,96.3,0.317,4.7078,183,-386.36,0.539807786,0.244289026
2024-10-30,2,1,5813.67,1.3177,268.2975145,0.581328908,279.8,0.606,4.78509,142,13.67,0.535388335,-0.045940573
2024-09-17,7,1,5634.58,1.3645,157.3065812,0.497799934,170.35,0.521,4.76338,94,-65.42,0.42649659,-0.071303343
2024-11-21,11,1,5948.71,1.2982,28.57969252,0.251024286,28.7,0.261,4.77303,29,-151.29,-0.085709983,-0.336734269
2024-11-01,6,3,5728.8,1.3364,52.47234021,0.211986731,55.45,0.223,4.75678,140,-471.2,0.250934227,0.038947496
2024-10-25,7,3,5808.12,1.3187,234.8250482,0.649129132,236.3,0.653,4.77618,56,108.12,0.761738677,0.112609545
2024-09-13,2,1,5626.02,1.3662,186.4275212,0.465445817,200.3,0.483,4.83545,189,-173.98,0.575872548,0.110426731
2024-10-01,3,1,5708.75,1.3433,175.1158952,0.444235027,183.8,0.463,4.60149,171,-191.25,5.777085696,5.332850669
2024-10-07,2,3,5695.94,1.3483,228.073762,0.508189947,242,0.527,4.80911,165,-104.06,0.437191928,-0.070998019
2024-11-21,9,1,5948.71,1.2982,113.5261662,0.637554181,129.8,0.63,4.77303,29,48.71,0.35998193,-0.277572251
2024-11-26,11,1,6021.63,1.2827,33.44634247,0.339061775,36.15,0.354,4.73591,24,-78.37,0.476173845,0.137112069
2024-11-29,1,3,6032.38,1.2809,455.8728033,0.789896335,476.1,0.81,4.79975,112,332.38,0.551884468,-0.238011867
2024-08-28,4,1,5592.18,1.3749,91.30721483,0.299668662,96.85,0.318,4.90451,205,-407.82,-11.84292823,-12.14259689
2024-12-02,10,1,6047.15,1.2774,89.83768604,0.66145618,35.7,0.671,4.78404,18,47.15,-0.456661897,-1.118118076
2024-09-18,11,1,5618.26,1.3686,18.32165631,0.114573328,22.9,0.133,4.73875,93,-481.74,0.114011587,-0.000561741
2024-10-29,1,1,5832.92,1.3131,352.3789896,0.654729087,372.75,0.676,4.76552,143,132.92,1.092031535,0.437302449
2024-10-14,4,1,5859.85,1.3103,189.4300038,0.478107488,204,0.498,4.78585,158,-140.15,0.582605462,0.104497974
2024-09-04,6,1,5520.07,1.3929,32.44953184,0.138688905,37.5,0.152,4.89094,198,-679.93,0.21339637,0.074707465
2024-09-26,8,1,5745.37,1.3329,146.2758847,0.50068171,155.45,0.519,4.6145,85,-54.63,0.33740279,-0.16327892
2024-09-16,3,3,5633.09,1.3646,140.8956785,0.394426282,153.2,0.415,4.76414,186,-266.91,3.845852986,3.451426704
2024-08-19,6,1,5608.25,1.3698,48.11436805,0.188838993,52.55,0.203,5.01499,214,-591.75,-0.061728128,-0.250567121
2024-12-02,1,1,6047.15,1.2774,465.2375707,0.798268512,483.9,0.816,4.78404,109,347.15,1.350130825,0.551862312
2024-09-18,3,1,5618.26,1.3686,133.1793788,0.381475949,150.8,0.409,4.73875,184,-281.74,0.335204573,-0.046271376
2024-10-07,4,3,5695.94,1.3483,124.9042916,0.362809662,135,0.382,4.80911,165,-304.06,0.305209459,-0.057600203
2024-11-11,6,1,6001.35,1.2884,121.6667006,0.403434841,130.05,0.427,4.76371,130,-198.65,0.515046678,0.111611838
2024-12-02,3,1,6047.15,1.2774,302.067779,0.688895077,318.65,0.712,4.78404,109,147.15,1.012598118,0.323703041
2024-10-23,9,1,5797.42,1.3226,79.33793285,0.408989669,103.5,0.441,4.79683,58,-102.58,0.294370653,-0.114619016
2024-09-24,2,1,5732.93,1.336,235.0389549,0.533840742,247.05,0.549,4.61941,178,-67.07,0.243578567,-0.290262176
2024-11-26,9,1,6021.63,1.2827,149.6106713,0.820582664,168.4,0.771,4.73591,24,121.63,1.012951634,0.192368969
2024-10-16,8,1,5842.47,1.3144,191.9388601,0.593349551,196.75,0.603,4.76916,65,42.47,2.313374409,1.720024859
2024-10-25,1,3,5808.12,1.3187,343.2564572,0.638347052,352.05,0.653,4.77618,147,108.12,0.792208224,0.153861172
2024-08-29,11,1,5591.96,1.3743,17.33893662,0.109345419,21,0.128,4.99045,113,-508.04,0.065804298,-0.043541121
2024-09-05,7,1,5503.41,1.3961,107.2574757,0.383504789,115.4,0.405,4.88116,106,-196.59,0.34927621,-0.034228579
2024-08-23,11,3,5634.61,1.3637,27.54995273,0.151401597,30.3,0.162,4.93002,119,-465.39,0.239136571,0.087734974
2024-10-02,3,1,5709.54,1.3455,173.7600601,0.443695503,187.15,0.462,4.59496,170,-190.46,0.840968898,0.397273395
2024-10-11,7,3,5815.03,1.3204,254.2199955,0.653845982,255.45,0.659,4.78128,70,115.03,0.867959519,0.214113537
2024-10-18,10,3,5864.67,1.3086,79.9210296,0.383107594,46.05,0.395,4.78168,63,-135.33,0.348952328,-0.034155266
2024-09-26,2,1,5745.37,1.3329,245.854676,0.541720691,257.5,0.559,4.6145,176,-54.63,0.431875572,-0.109845119
2024-08-29,10,1,5591.96,1.3743,31.72348006,0.175462152,21,0.201,4.99045,113,-408.04,0.065804298,-0.109657854
2024-10-24,11,1,5809.86,1.3193,26.43575718,0.182639571,29.05,0.197,4.77971,57,-290.14,0.43591266,0.253273089
2024-10-01,11,1,5708.75,1.3433,24.38918831,0.150956853,27.7,0.167,4.60149,80,-391.25,-0.258675479,-0.409632332
2024-11-26,10,1,6021.63,1.2827,85.60264889,0.5885313,36.15,0.602,4.73591,24,21.63,0.476173845,-0.112357455
2024-11-14,8,1,5949.17,1.2985,205.6528753,0.757004085,210.15,0.767,4.77487,36,149.17,0.640562969,-0.116441115
2024-09-05,8,1,5503.41,1.3961,67.43881565,0.286249213,73.8,0.307,4.88116,106,-296.59,0.24685687,-0.039392343
2024-09-27,12,1,5738.17,1.335,16.45072328,0.109279437,18.15,0.118,4.59072,84,-461.83,-0.020747543,-0.13002698
2024-10-03,4,1,5699.94,1.3476,125.2008998,0.363380946,130.45,0.38,4.61384,169,-300.06,0.357439756,-0.00594119
2024-10-24,9,1,5809.86,1.3193,81.97260035,0.423592871,107.1,0.455,4.77971,57,-90.14,1.871860246,1.448267375
2024-09-09,12,3,5471.05,1.4044,4.778237688,0.035698653,6.15,0.043,4.85278,102,-728.95,0.006293085,-0.029405569
2024-08-14,6,1,5455.21,1.408,25.06407016,0.113897096,29.6,0.13,4.94858,219,-744.79,0.154904247,0.041007152
2024-12-02,6,1,6047.15,1.2774,111.6291026,0.419094137,121.7,0.448,4.78404,109,-152.85,0.11912919,-0.299964946
2024-09-25,8,1,5722.26,1.3381,132.2822594,0.475983693,143.9,0.498,4.61325,86,-77.74,0.504380534,0.028396841
2024-08-30,11,3,5648.4,1.3606,23.13342889,0.139217595,24.7,0.145,4.96967,112,-451.6,0.080357559,-0.058860036
2024-09-13,10,1,5626.02,1.3662,36.76266792,0.195291011,22.35,0.209,4.83545,98,-373.98,0.109342889,-0.085948122
2024-11-13,10,1,5985.38,1.2904,90.61350128,0.518061285,48.65,0.539,4.73383,37,-14.62,0.477755277,-0.040306007
2024-09-24,4,1,5732.93,1.336,129.6518138,0.383435412,138.35,0.399,4.61941,178,-267.07,0.197620347,-0.185815065
2024-11-22,7,3,5969.34,1.2949,304.9593664,0.856835098,307.95,0.863,4.77997,28,269.34,0.988915107,0.132080009
