,Residual
150,0.063006403
125,6.900358037
902,-0.115295444
837,-0.276740116
50,-0.128075042
357,-8.938654266
944,-0.022248872
143,0.170336897
475,-0.090823036
403,0.085523808
636,0.445978296
323,-0.20440575
19,-0.123538783
916,-0.037226246
812,-0.138239977
823,-0.073601969
411,0.220401514
543,-0.099275406
879,1.334589029
38,-0.262359601
177,0.067858837
247,-0.119037285
843,-0.337181433
855,-0.006293789
768,-0.180228789
874,-0.042374544
155,1.677019861
290,-0.185815065
620,0.004008373
575,0.034744055
828,-0.043389427
17,-24.43751936
128,-0.189197161
325,0.839201007
258,-0.387699059
998,0.014243558
983,0.039995315
192,-0.020253216
116,-0.055792013
627,0.416303729
613,-0.107380921
182,-0.104424014
304,0.104497974
773,-0.066258267
725,0.00017902
736,-0.114619016
697,-6.526431558
672,-0.158533245
523,-0.110183439
1003,-0.288588958
45,-0.018317594
925,2.245448471
158,-0.293436193
757,-0.277572251
173,-0.493179461
16,0.222421897
517,0.061955263
48,0.231038308
990,-0.039903395
856,-0.116912644
521,0.029048142
838,-0.271152982
485,0.135097033
286,-0.036265192
731,2.410159816
692,-0.068086527
227,0.952142467
26,0.017459319
796,-0.071347637
442,-6.324157525
969,-0.044497898
368,0.04723115
231,-0.049367604
37,-0.186838855
984,0.022507472
378,-0.196240834
474,0.065070941
986,2.120968847
891,0.096497412
716,0.056765486
738,0.145793909
196,0.022887032
1016,-0.009484705
880,-0.03750966
508,-0.299964946
988,0.082097295
845,-0.112357455
585,-33.2752973
987,-0.062826931
163,-0.043314407
714,0.072103088
153,-0.221470756
693,-0.065311894
712,0.412536253
769,2.027152966
112,0.058559177
228,0.141801111
700,-0.205244127
104,-0.118803752
426,-0.049473332
423,-0.065206465
763,-0.087288345
592,-0.261440101
794,1.26002087
680,-0.334082434
120,-0.290262176
53,0.00913776
152,-0.082807187
407,-0.035369551
962,0.001955612
209,-0.153891908
665,0.155838127
859,-0.022792755
776,-0.076241105
8,0.349065869
822,0.131356461
36,0.039642376
457,0.181874675
658,0.234388639
256,-0.048701159
306,1.808474319
759,-0.131464328
577,-0.188801805
630,-0.170623274
722,-0.003120758
908,0.046055008
265,-0.35999572
617,-0.039392343
300,-0.006011195
418,-0.136150876
151,-0.052815894
802,-0.245297912
647,-0.178943578
905,-0.069916321
556,-0.195831193
805,-0.502247816
493,-0.198699321
718,-0.203049131
148,0.182248275
147,-0.155945771
857,0.025748731
948,-0.025581374
793,-0.085948122
666,0.250253518
352,-0.076923326
468,-0.100366987
328,-0.254557271
188,-0.119306647
124,-0.169575149
869,-0.058860036
615,-0.271540672
144,0.233154015
977,-0.013833416
199,3.451426704
616,0.165171093
282,0.046096543
296,0.299695305
404,0.000915989
123,-0.19987368
185,0.006561346
204,0.12436985
443,-0.06523764
248,-0.08377338
419,-0.047826372
790,-0.049591402
779,0.012519025
922,-0.085645292
782,-1.926095946
903,0.092880237
130,-0.013510576
644,0.113939388
406,-0.01388181
798,-0.226191191
939,1.706805205
743,0.197583274
929,-0.071271334
221,1.528812892
648,-0.045133505
931,0.012839234
766,-0.061985375
893,-0.070569845
936,-0.031703261
631,0.028396841
854,2.059973454
774,-0.085127086
390,-0.098386691
991,-0.118310379
515,-0.008117794
270,-0.050033487
834,-0.034767167
446,0.074707465
501,0.003611261
113,0.110426731
699,-0.092934223
234,0.011559381
967,0.12798643
614,-0.126508079
678,0.359546229
377,-0.236719696
1000,0.019887698
858,-0.005846554
235,0.066252059
799,-0.12397401
684,3.232752303
320,0.065711698
655,0.297390635
414,0.090320724
914,-0.00152851
717,-0.181035126
362,-0.024716262
261,-0.165314896
752,-0.129888187
634,-0.166237807
639,-0.079745836
285,-0.045162565
380,2.63808531
388,0.154523849
226,-0.075557394
972,-0.10172078
829,-0.086257742
477,-0.149914488
351,0.003429948
511,-0.030727137
646,1.720024859
1006,0.07496343
806,0.002797744
945,-0.120461657
921,0.145993075
626,-0.030415954
871,0.01722063
818,-0.034155266
652,1.827171497
862,-0.054886434
562,-0.187881297
976,0.0447142
583,-0.25535235
804,-0.171665314
86,0.002577909
244,0.093016478
706,0.017522177
160,-37.41099256
530,-0.29371074
35,-0.286660126
546,0.016153408
172,0.022510112
661,-0.077551559
906,-0.172673451
873,-0.01156187
863,-0.040476688
961,-0.009466382
741,-0.067639685
96,0.028705427
569,0.311196737
242,-0.070610702
750,-0.186645135
580,0.889855384
698,-0.069415826
465,1.760422309
559,0.118260481
894,-0.033786653
208,-0.209113065
396,-0.122613145
803,-0.269319403
401,-0.057910489
775,-0.251799084
864,0.087734974
219,0.12309394
4,2.251109999
777,-0.128836753
649,2.484929516
913,0.050024875
619,-0.134625678
746,-0.070070838
552,-0.010175558
733,0.052411307
691,0.021741122
99,0.235010318
813,-0.029435449
735,-0.123653272
579,0.173882478
410,0.245283953
507,-0.091860944
47,-0.171200616
32,0.338510923
788,-0.04708603
848,-1.118118076
202,0.298451453
135,-0.127068217
27,0.062134308
896,-0.100899989
232,-0.145500016
494,0.111611838
781,-0.035347262
382,0.005292224
291,0.05621193
422,-0.12008443
682,-0.001101902
395,-0.092173295
599,3.408048181
503,-0.158513452
139,2.5653787
62,-0.163453749
476,2.253193251
654,-0.016100749
129,-0.070998019
995,0.0438497
526,0.176181793
847,-0.54776592
981,-0.060867244
64,0.010068018
821,-0.289163639
14,0.242931842
157,-0.076746609
40,8.216117738
497,-0.062088426
383,-0.12030239
189,-0.110046878
772,-0.018175128
218,0.209184207
800,-0.12472348
52,-0.193051184
888,-0.173183166
341,-0.044550208
756,-0.065675882
727,-0.124350419
732,-0.147708459
298,-0.154003578
709,2.174336404
253,0.323703041
734,2.08412944
466,0.141145081
460,-0.095668447
1015,0.063814561
824,0.010643682
872,-0.024330427
272,-12.14259689
203,-0.059090596
162,-0.068190717
561,1.261603708
737,1.448267375
405,0.059805939
710,-0.028122742
481,-0.136810727
830,-0.078260444
780,-0.188030305
106,0.22635276
571,-0.058556892
393,0.124242412
1,0.027663868
954,-0.041231132
1001,-0.04400655
567,1.549859484
80,0.277796091
207,-0.187292532
34,0.221460179
784,-0.136708871
514,3.580243519
432,0.041007152
459,-0.000786983
370,-0.025209225
92,0.066042262
343,-0.292828965
907,0.253273089
570,0.43496666
349,-0.035843922
785,-0.139225064
243,-0.281361211
13,-0.123976841
318,0.134419056
607,-0.09483924
391,2.092841083
276,0.140440119
167,-0.18461813
850,-0.157045736
1011,-0.032241399
653,0.163686685
827,-0.175358131
489,-0.004784461
999,-0.005877211
510,-0.641177819
840,2.067855851
245,-32.43909258
572,-0.161661714
885,-0.029596138
568,0.112609545
971,0.032559317
694,0.205848548
968,-0.112573663
191,0.185903203
791,-0.066477326
707,0.048953595
480,-0.073276802
689,-0.021680273
516,-0.249315774
58,0.153861172
479,1.603050846
566,-0.109013559
866,0.037817823
755,-28.75623373
255,-0.360797322
21,0.262848001
316,-0.053425743
464,-0.083898584
161,-0.008322187
279,-0.097543065
966,-0.002064043
193,0.030480883
389,0.085543386
814,-0.07269962
417,-0.189724242
496,0.187204923
347,0.053632341
778,-0.105468424
311,-0.09878131
668,-0.264294852
131,-0.235114698
670,-32.56518094
881,-0.000561741
100,0.069309488
376,0.045813078
88,-0.597016052
463,-0.180809417
333,-0.122845143
216,-0.225451338
471,-0.186484968
122,-0.109845119
621,0.014081403
20,-0.216610975
708,0.071370099
71,0.241041063
107,-0.013716258
273,-0.101636139
870,-0.084503611
440,-0.105827521
103,-0.138574324
